N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
177,KODEX 2차전지산업,"17,145",20,+0.12%,0,"12,773","74,500",0.00,"723,360",N/A,N/A,
178,동원시스템즈,"49,800",500,+1.01%,"5,000","12,758","25,619",1.48,"84,069",25.04,10.97,
179,롯데리츠,"5,170",120,+2.38%,500,"12,561","242,969",9.53,"1,324,944",59.43,1.80,
180,코스맥스,"124,500","1,000",+0.81%,500,"12,512","10,050",23.76,"58,649",58.53,6.23,
181,SK디스커버리,"65,200","3,600",+5.84%,"5,000","12,413","19,038",10.34,"389,101",4.28,11.52,
182,JB금융지주,"6,280",0,0.00%,"5,000","12,371","196,983",40.18,"340,104",3.58,10.36,
183,더블유게임즈,"66,500","2,400",+3.74%,500,"12,219","18,375",13.02,"464,778",10.85,16.94,
184,KBSTAR 200,"42,010",395,+0.95%,0,"12,183","29,000",0.00,"100,698",N/A,N/A,
185,TIGER MSCI Korea TR,"16,890",150,+0.90%,0,"12,178","72,100",0.00,"8,669",N/A,N/A,
186,다우기술,"26,900",800,+3.07%,500,"12,069","44,867",22.09,"262,279",4.32,14.62,
187,이노션,"60,000",200,+0.33%,500,"12,000","20,000",30.33,"26,637",18.90,8.28,
188,한올바이오파마,"22,950",200,+0.88%,500,"11,989","52,241",6.22,"193,771",60.71,12.29,
189,한미반도체,"24,100",200,-0.82%,200,"11,920","49,460",6.27,"518,411",24.97,21.03,
190,지누스,"81,600",700,+0.87%,500,"11,756","14,407",21.98,"26,901",28.02,11.61,
191,LG상사,"30,300",850,+2.89%,"5,000","11,744","38,760",26.01,"554,884",3.95,23.72,
192,LG전자우,"68,100","1,400",-2.01%,"5,000","11,704","17,186",40.13,"242,681",6.26,N/A,
193,동국제강,"12,200",900,+7.96%,"5,000","11,643","95,433",25.91,"2,335,929",17.89,3.35,
194,아시아나항공,"15,600",450,+2.97%,"5,000","11,608","74,412",19.58,"584,377",-1.35,-90.67,
195,KODEX 단기채권PLUS,"103,030",0,0.00%,0,"11,573","11,233",0.00,"98,500",N/A,N/A,
196,KODEX 인버스,"3,950",40,-1.00%,0,"11,419","289,100",1.64,"27,423,373",N/A,N/A,
197,롯데칠성,"127,000",0,0.00%,500,"11,398","8,975",10.45,"32,257",-90.91,-1.00,
198,영진약품,"6,210",0,0.00%,500,"11,358","182,893",4.42,"442,488","-6,210.00",-0.12,
199,미원상사,"228,500","15,500",+7.28%,500,"11,356","4,970",4.41,"31,454",22.05,21.07,
200,보령제약,"21,350",100,-0.47%,500,"11,128","52,120",6.64,"375,490",40.28,8.62,
